"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","original_leidenID","degreeCentrality","degree_ratio","betweennessCentrality","betweenness_ratio","closenessCentrality","eigenvectorCentrality","VEGFA","TNF.IL6","TGFB1.2","F2.Thrombin.","GSE13592","intersect_count","Average.NX..all.except.retina.","NX..retina.","tissue_ratio","degree_ratio_percentile","betweenness_ratio_percentile","tissue_ratio_percentile"
"127","ICAM1","7279.30129397316","6.02766632926507","0.0906711075547825","66.4783577902499","0","0","3383","UP",9,18,0.036437247,1805.067869,9.300550135,0.314136126,0.012552341,0,0,1,1,1,2,12.8770491803279,10.6,0.823169955,6.02523659305994,35.3312302839117,65.4392764857881
"128","ID2","67.8306842581902","2.11828525084246","0.134210850256289","15.7832637733639","4.05658425720208e-56","5.4766208172604e-55","3398","UP",2,10,0.054945055,2037.890561,41.14942296,0.299654245,0.008807355,0,1,1,1,1,3,33.4147540983607,13.3,0.398027768,15.4574132492114,69.0220820189274,34.4961240310078
"129","IFI27","5484.00440595308","2.61252295728891","0.189890683533438","13.7580365117221","4.55736741578534e-43","4.93798501584565e-42","3429","UP",2,4,0.25,0,0,0.265667575,0.002679483,0,1,1,1,1,3,16.4491803278689,9.7,0.589695037,93.5015772870663,10.1892744479495,48.578811369509
"130","IFI6","4850.97668322835","4.38083962773908","0.364063215389577","12.0331839157418","2.37809596028277e-33","2.11616465183684e-32","2537","UP",23,2,0.020408163,0,0,0.288195086,0.007555159,0,0,0,1,1,1,28.8229508196721,31.6,1.096348538,0.599369085173502,10.1892744479495,77.9715762273902
"131","IFIH1","959.818736242846","3.16558566574334","0.138485505000609","22.8586065070811","1.19999354082653e-115","3.16409470055477e-114","64135","UP",2,6,0.068181818,172.3871262,12.56080548,0.292463442,0.008217265,1,1,1,1,1,4,10.7098360655738,5.9,0.550895454,24.006309148265,39.55835962,45.9302325581395
"132","IFITM1","1236.81514586797","6.18093073862474","0.389875745052844","15.8535913481537","1.32771386947366e-56","1.80176650981649e-55","8519","UP",22,60,0.084033613,7053.258982,43.55200529,0.337589266,0.05151904,0,0,1,1,1,2,46.5754098360656,49.5,1.06279258,36.782334384858,70.410094637224,76.7441860465116
"133","IFITM3","5907.01289840305","1.39755643205105","0.0951493071947117","14.6880358171302","7.69110241349159e-49","9.21799521868908e-48","10410","UP",22,88,0.085271318,17669.66776,23.9049274,0.35543404,0.074041396,0,0,0,1,1,1,69.8918032786885,81,1.158934184,37.5709779179811,53.5646687697161,79.6511627906977
"134","IGFBP4","12451.0329895061","-1.42947889864925","0.0434928737462194","-32.8669682070273","6.51876140239439e-237","3.98539508640169e-235","3487","DOWN",0,4,0.058823529,164.1315794,10.69589142,0.265712826,0.004776212,1,1,1,1,1,4,51.1393442622951,46.2,0.903414009,17.4763406940063,37.6656151419558,70.3488372093023
"135","IGFBP5","121.20136895371","-1.37617385686321","0.247030477728231","-5.5708666781481","2.53475243714437e-08","9.54333483793397e-08","3488","DOWN",22,32,0.136752137,3895.208956,33.57089481,0.286975717,0.007661762,0,0,0,0,1,0,29.2901639344262,188.5,6.435607545,69.0851735015773,63.7223974763407,98.8372093023256
"136","IGFBP6","193.153968274728","-1.32981012935946","0.0993740972150644","-13.3818587199992","7.71925387818497e-41","8.00380809627799e-40","3489","DOWN",15,10,0.104166667,237.328488,15.77011434,0.274358072,0.003289473,0,0,0,1,1,1,18.16557377,41.5,2.284541106,50.3785488958991,43.8485804416404,94.3152454780362
