"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed"
"ENSG00000099260",2630.26897864481,-1.71503818699688,0.0637995401044756,-26.8816700588814,3.59779846988346e-159,2.34502157876697e-157,"PALMD","DOWN"
"ENSG00000181656",1.05042714226043,3.17439417292119,1.34108140916009,2.36704062202257,0.0179309645981511,0.0432427223860097,"GPR88","UP"
"ENSG00000162692",915.017236801151,6.34523911668925,0.13023227477702,48.7224778001721,0,0,"VCAM1","UP"
"ENSG00000117543",382.84577662734,-1.04930145923018,0.06833585092679,-15.3550653866054,3.27579121002784e-53,5.83319435513941e-52,"DPH5","DOWN"
"ENSG00000162631",5.61948869223752,1.7320133890007,0.528744251811589,3.27571105135697,0.00105396332355019,0.00315570643848144,"NTNG1","UP"
"ENSG00000134215",91.2951984495215,-1.28796178937579,0.127828704911514,-10.0756851934575,7.07658128699139e-24,6.48105684420678e-23,"VAV3","DOWN"
"ENSG00000134243",511.650585010817,-1.17776931817853,0.0803317174644431,-14.6613237629314,1.14027975938606e-48,1.87848559812046e-47,"SORT1","DOWN"
"ENSG00000181754",38.6036851325828,-1.18368955147172,0.194500320901689,-6.08579742174319,1.15912928030267e-09,5.83971327816423e-09,"AMIGO1","DOWN"
"ENSG00000213366",98.2639460708817,-1.14500243079068,0.138415465143076,-8.27221459399153,1.31493352798086e-16,9.37017100479766e-16,"GSTM2","DOWN"
"ENSG00000184371",2117.6462654745,3.29879885109682,0.0632802364353471,52.1300019867526,0,0,"CSF1","UP"
"ENSG00000162777",20.9317050552826,2.24311196621498,0.250501908823912,8.95447055372244,3.4136986605366e-19,2.69433945612474e-18,"DENND2D","UP"
"ENSG00000173947",6.41224851326061,-1.43320414595963,0.43579367191834,-3.28872179270237,0.00100643452514794,0.00302207542816707,"CIMAP3","DOWN"
"ENSG00000197852",745.576489016774,-1.69786984881896,0.0646262624768673,-26.2721343266092,3.99350505901683e-152,2.42501803406526e-150,"INKA2","DOWN"
"ENSG00000227811",8.81733223595193,-1.59785904792214,0.421059047322956,-3.79485741508498,0.000147728329532113,0.000495166533280781,"INKA2-AS1","DOWN"
"ENSG00000118655",263.319287552511,1.11656227382884,0.0721029971635606,15.4856568763154,4.33610964286937e-54,7.79070605946552e-53,"DCLRE1B","UP"
"ENSG00000134250",2879.57630699253,1.58936336216919,0.0567994641592454,27.9820133111323,2.68982234836709e-172,1.98517165685948e-170,"NOTCH2","UP"
"ENSG00000226015",8.12047156553537,-1.08613366015989,0.411566284463254,-2.63902486953316,0.00831448811771784,0.0215531516255896,"CCT8P1","DOWN"
"ENSG00000274020",2.4744715312047,3.32034917607085,0.834996246235463,3.97648395551534,6.99417154909627e-05,0.000244373195595955,"LINC01138","UP"
"ENSG00000270629",220.29956343177,1.1103998150331,0.0798731374213529,13.9020433011844,6.15585723238311e-44,9.41073241401793e-43,"NBPF14","UP"
"ENSG00000178104",642.093227575907,1.23681585866128,0.0461197622959855,26.817481207377,2.0209436397205e-158,1.30658636502253e-156,"PDE4DIP","UP"
"ENSG00000203814",2.26103143390447,2.15992976395744,0.700794744739635,3.08211467076557,0.00205535643077188,0.00590204469633596,"H2BC18","UP"
"ENSG00000233030",0.760537905582993,3.03526674907221,1.26543530881849,2.39859495615479,0.0164581086460062,0.0400166440935737,"LOC124904411","UP"
"ENSG00000184678",40.9240838007956,1.61328200647738,0.197725253776885,8.15921070101558,3.37220941894391e-16,2.36508231353183e-15,"H2BC21","UP"
"ENSG00000143452",0.774055681859819,3.40991054390589,1.41255723387403,2.41399814615227,0.0157785426418186,0.0385087631060908,"HORMAD1","UP"
"ENSG00000163131",1594.45281805711,4.94549584680168,0.076317802632961,64.8013396112346,0,0,"CTSS","UP"
"ENSG00000143387",300.914873722774,3.76456061201424,0.106607357704303,35.3123901865762,3.79033515039425e-273,6.02085953095077e-271,"CTSK","UP"
"ENSG00000143434",1102.61516397702,-1.2888498951075,0.0516266486957213,-24.9648181253013,1.47436691442486e-137,7.6711854250314e-136,"SEMA6C","DOWN"
"ENSG00000197747",6023.49840162485,-1.17085990989792,0.0303441839796405,-38.585974520966,0,0,"S100A10","DOWN"
"ENSG00000198854",1.12531789846786,3.99669388964102,1.22446822225906,3.26402418371248,0.0010984178928028,0.0032816077192836,"KPLCE","UP"
"ENSG00000188015",42.9052690994664,5.22451454917554,0.304051838527298,17.1829730564398,3.56179846095159e-66,7.92516677962752e-65,"S100A3","UP"
"ENSG00000169418",219.799965498453,-2.4896248842897,0.101701728769441,-24.4796712348293,2.43217076321913e-132,1.19545180177406e-130,"NPR1","DOWN"
"ENSG00000169291",1906.5908332228,-1.27513847313242,0.0352474460525181,-36.1767621754066,1.41242047672986e-286,2.52823265334645e-284,"SHE","DOWN"
"ENSG00000160710",6403.79934657056,1.35954826390275,0.0510712614460044,26.6206125599647,3.91918851360636e-156,2.47383304440426e-154,"ADAR","UP"
"ENSG00000254726",622.24689641581,-1.04266644688816,0.0559159304856041,-18.6470373976268,1.33471277608835e-77,3.53360051294207e-76,"MEX3A","DOWN"
"ENSG00000196189",38.652286237783,1.62924058839244,0.19601075084007,8.31199605842933,9.41055523545853e-17,6.74198261283477e-16,"SEMA4A","UP"
"ENSG00000027869",22.1527633803417,2.6723140298332,0.390086693994238,6.85056442830801,7.35591726639373e-12,4.20493402172831e-11,"SH2D2A","UP"
"ENSG00000198400",2.24766224335802,3.7238890314951,1.00304306881824,3.71259136049112,0.000205147970910631,0.000672775393801259,"NTRK1","UP"
"ENSG00000253831",2.17074523577328,5.56088973384261,0.973446155342745,5.71258071473368,1.11275608273505e-08,5.26960856870342e-08,"ETV3L","UP"
"ENSG00000163554",17.3590363703113,-1.88113465091023,0.298655476621696,-6.29867790200627,3.00195053322252e-10,1.56464114493428e-09,"SPTA1","DOWN"
"ENSG00000213088",4.80735110003892,7.06989334676206,0.926971580251607,7.62687173736554,2.40518676925716e-14,1.55878978242103e-13,"ACKR1","UP"
"ENSG00000158714",10.9749106509379,4.18497172137025,0.543126507849489,7.705335057095,1.30500434366235e-14,8.5500776255354e-14,"SLAMF8","UP"
