gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,delta.pct
MAT2A,1.61E-12,0.594463803,0.591,0.287,3.52E-08,0.304
NFATC1,1.75E-12,0.45994399,0.472,0.181,3.82E-08,0.291
RPS24,1.75E-12,0.291951383,0.975,0.866,3.83E-08,0.109
PSME1,1.93E-12,0.214066087,0.742,0.378,4.23E-08,0.364
NRN1,2.14E-12,-0.746692222,0.069,0.382,4.67E-08,-0.313
CD59,2.23E-12,0.69062439,0.956,0.701,4.87E-08,0.255
VAMP8,2.35E-12,0.427066566,0.384,0.11,5.13E-08,0.274
TEK,2.38E-12,0.329142161,0.497,0.189,5.21E-08,0.308
IL8,2.74E-12,0.970476698,0.365,0.091,5.99E-08,0.274
EEF1A1,3.03E-12,0.29856571,1,0.98,6.63E-08,0.02
PART1,3.21E-12,-0.812642843,0,0.26,7.03E-08,-0.26
RPL31,3.23E-12,0.220142604,0.836,0.52,7.07E-08,0.316
HLA-DRB1,3.39E-12,0.583210526,0.83,0.504,7.41E-08,0.326
RPS4X,3.53E-12,0.323118012,0.969,0.835,7.71E-08,0.134
NUAK1,3.54E-12,0.503528302,0.415,0.13,7.73E-08,0.285
GALNT1,3.71E-12,0.452852286,0.453,0.165,8.10E-08,0.288
COX7C,3.89E-12,0.255150328,0.874,0.531,8.51E-08,0.343
ELK3,3.94E-12,0.24273403,0.61,0.28,8.62E-08,0.33
BMP4,3.94E-12,0.333038477,0.22,0.016,8.62E-08,0.204
TM4SF1,4.47E-12,0.501582411,0.95,0.709,9.77E-08,0.241
RPL17,4.64E-12,0.238373608,0.755,0.417,1.02E-07,0.338
NUDT4,4.72E-12,0.219071785,0.635,0.295,1.03E-07,0.34
LTC4S,4.73E-12,0.217634548,0.189,0.004,1.03E-07,0.185
RPL35,5.47E-12,0.491373571,0.906,0.646,1.20E-07,0.26
INPP1,5.65E-12,0.324052389,0.56,0.244,1.24E-07,0.316
RPL6,6.51E-12,0.375087433,0.962,0.732,1.42E-07,0.23
MTRNR2L1,6.85E-12,0.42107402,0.447,0.146,1.50E-07,0.301
FRMD4B,7.43E-12,0.401858272,0.478,0.185,1.62E-07,0.293
ODF2L,7.61E-12,0.316600597,0.56,0.236,1.66E-07,0.324
ANKRD28,7.62E-12,0.791678484,0.541,0.256,1.67E-07,0.285
CDV3,7.64E-12,0.353366876,0.667,0.335,1.67E-07,0.332
HOPX,7.79E-12,-1.228418974,0.239,0.5,1.70E-07,-0.261
RPS29,7.87E-12,0.290292127,0.95,0.681,1.72E-07,0.269
3-Mar,8.07E-12,0.280773705,0.503,0.193,1.76E-07,0.31
