gene,original_leidenID,degreeCentrality,degree_ratio,betweennessCentrality,betweenness_ratio,closenessCentrality,eigenvectorCentrality,VEGFA,TNF-IL6,TGFB1/2,F2(Thrombin),GSE13592,intersect_count,Average NX (all except retina),NX (retina),tissue_ratio,degree_ratio_percentile,betweenness_ratio_percentile,tissue_ratio_percentile
SLC6A4,11,8,0.173913043,419.1301399,22.586987,0.254943618,0.001307827,0,0,0,1,0,1,1.967213114754098,0.2,0.101666667,83.02839116719242,52.36593059936908,11.627906976744185
SLC7A2,1,30,0.145631068,1159.32365,51.18783017,0.32486464,0.062530514,0,0,1,0,0,1,9.101639344262294,13,1.428314121,72.87066246056783,74.95268138801262,85.91731266149871
SNCB,11,4,0.095238095,1559,358.6181191,0.233567899,0.000545653,0,0,0,1,0,1,8.878688524590164,5.6,0.630723781,44.41640378548896,97.60252366,51.291989664082685
SP100,23,24,0.058252427,2959.508485,30.57458501,0.32224747,0.01719822,0,1,0,0,0,1,23.37377049180328,13.9,0.594683686,16.971608832807572,61.38801261829653,48.837209302325576
SPRY4,1,26,0.156626506,1760.903124,124.0782458,0.314389359,0.047412824,0,0,1,0,0,1,8.922950819672133,10.7,1.199154878,76.71924290220821,90.28391167192429,80.49095607235142
SRSF12,0,24,0.092307692,637.7993301,49.64713714,0.295342673,0.01188918,1,0,0,0,0,1,2.536065573770492,1.6,0.630898513,42.46056782334385,74.06940063091483,51.42118863049095
ST6GALNAC3,22,10,0.172413793,204.8115995,106.7204133,0.291153415,0.009310702,0,0,1,0,1,1,6.488524590163934,2.8,0.431531076,82.74447949526814,88.89589905362776,36.75710594315246
STC2,4,18,0.183673469,1931.172103,183.0828406,0.285557386,0.00805471,0,0,1,0,0,1,5.024590163934426,0.1,0.019902121,85.17350157728707,94.51104100946372,5.555555555555555
SULF1,4,12,0.1875,1737.839035,209.0760507,0.286712001,0.0094683,0,0,1,0,1,1,8.709836066,47.4,5.442123094,85.86750788643533,95.20504731861199,98.38501291989664
TAF4B,15,2,0.047619048,0,0,0.220557048,0.000190354,0,0,0,1,0,1,4.180327868852459,2.6,0.621960784,12.113564668769715,10.189274447949527,50.90439276485789
TAL2,15,4,0.2,15.62331893,107.7070278,0.247226624,0.00066034,0,0,0,1,0,1,0.8431372549019609,,,88.26498422712933,88.95899053627761,
TBC1D3,11,2,0.1,0,0,0.21285305,8.52e-05,0,0,0,1,0,1,0.7113636363636364,,,47.88643533123028,10.189274447949527,
TBX20,15,4,0.105263158,87.3739723,26.98701539,0.25128866,0.001058793,0,0,0,1,0,1,3.609836065573771,2.7,0.747956403,51.07255520504732,57.413249211356465,60.46511627906976
TBXA2R,11,12,0.09375,922.1031115,28.42889316,0.263691684,0.002231475,0,0,0,1,0,1,4.772131147540983,5,1.047749914,43.4384858,59.11671924290221,75.83979328165374
TCF15,6,2,0.083333333,0,0,0.238495643,0.000882073,0,0,0,1,0,1,1.644262295081967,0.3,0.182452642,35.80441640378549,10.189274447949527,17.183462532299743
TFF3,11,2,0.166666667,0,0,0.177111717,3.83e-06,0,0,0,1,0,1,16.611475409836064,0.3,0.018059805,80.41009463722398,10.189274447949527,5.426356589147287
TGFB1,4,70,0.117056856,19548.59824,45.0652117,0.354868062,0.04954218,0,0,1,0,1,1,15.750819672131149,10.3,0.653934221,58.67507886435332,71.23028391167192,53.036175710594314
TGFB2,4,8,0.25,1018.184834,366.4234055,0.279169649,0.004733932,0,0,1,0,1,1,6.549180327868853,11.6,1.771214018,93.50157728706625,97.66561514195583,90.63307493540051
TGFBI,6,2,0.066666667,0,0,0.241897969,0.000546432,0,0,0,1,0,1,24.472131147540978,21.8,0.890809218,22.996845425867505,10.189274447949527,69.50904392764858
THSD7A,22,10,0.192307692,510.2519862,58.60112188,0.272203804,0.005280253,0,0,0,1,1,1,3.896721311,4.4,1.129154396,86.59305993690852,78.29652996845425,79.00516795865633
TLE2,9,14,0.052631579,885.1402301,10.4655955,0.282046646,0.004325558,0,0,0,1,0,1,12.339344262295084,20.6,1.669456623,14.47949527,37.22397476340694,89.27648578811369
TMEM106A,4,56,0.130841121,6783.868101,39.78715419,0.308727489,0.025916362,0,0,1,0,0,1,6.827868852459017,7.2,1.054501801,66.46687697160884,68.45425867507886,76.22739018087856
TMEM132A,4,22,0.089430894,2294.265476,22.63553155,0.315278901,0.024544705,0,0,1,0,1,1,8.019672131,19.3,2.406582175,40,52.55520504731861,94.83204134366925
TMEM154,22,2,0.025641026,0,0,0.217028381,0.000269716,0,0,0,1,0,1,6.457377049180328,0.5,0.07743082,1.9242902208201893,10.189274447949527,9.237726098191215
TMEM231,22,20,0.135135135,948.244543,38.08084643,0.301216451,0.012770067,0,0,1,0,0,1,6.486885246,6.6,1.017437453,68.64353312302839,67.38170347003155,74.80620155
TMEM44,6,6,0.214285714,57.60459436,34.60943438,0.263157895,0.002155819,0,0,0,1,1,1,6.309836066,3.3,0.522992985,90.22082018927445,64.85804416403785,43.54005167958656
TMEM45B,22,16,0.177777778,698.6885057,147.0262568,0.274793024,0.004224038,0,0,0,1,0,1,7.767213114754097,0.3,0.038623892,83.84858044164038,92.42902208201893,6.782945736434108
TNFAIP3,2,62,0.158163265,9940.78353,9.539546824,0.346820809,0.048035157,0,1,0,0,1,1,13.898360655737704,7.2,0.518046709,77.28706624605678,35.89905362776025,43.087855297157624
TOX,15,6,0.25,205.086263,177.3206505,0.272727273,0.007415996,0,0,0,1,0,1,6.622950819672131,2.6,0.392574257,93.50157728706625,94.25867507886436,33.91472868217054
TRAF1,2,94,0.155629139,31216.2305,42.40217958,0.342631232,0.032816085,0,1,0,0,0,1,8.647540983606557,9.4,1.087014218,76.65615141955836,69.71608832807571,77.51937984496125
TRIM22,2,6,0.115384615,35.22472688,32.25058225,0.288621647,0.006337522,0,1,0,0,0,1,20.398360655737704,15,0.735353211,57.63406940063091,62.27129337539432,59.75452196382429
TRIM36,9,20,0.070422535,2440.040133,45.74952914,0.290070658,0.009118553,0,0,0,1,0,1,4.803278689,5.1,1.061774744,25.39432176656151,71.67192429022083,76.61498708010336
TRIM6,11,8,0.068965517,197.5224203,6.28620461,0.272346369,0.002824791,0,0,0,1,0,1,3.391803278688524,6.6,1.945867569,24.51104100946372,31.230283911671926,92.24806201550388
TRIM73,15,4,0.1,92.59657856,20.06081345,0.240815066,0.000477808,0,0,0,1,0,1,1.9039215686274509,,,47.88643533123028,50.28391167192429,
TSPAN10,22,10,0.080645161,308.4512539,14.54468773,0.27877055,0.010229909,0,0,0,1,0,1,0.4053571428571429,117.4,289.6211454,33.943217665615144,42.018927444794954,100
TSPAN18,22,12,0.230769231,277.9081467,174.9681298,0.269244046,0.004584326,0,0,0,1,1,1,8.786885246,16.7,1.900559701,91.60883280757098,94.00630914826499,91.47286821705426
